"","pathway","pval","padj","ES","NES","nMoreExtreme","size","col","method"
"1","actin filament organization (GO:0007015)",0.650071123755334,0.972028286002918,0.624388311696802,0.937542621923336,456,21,"X0","mofa"
"2","activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)",0.217142857142857,0.972028286002918,0.806653889554989,1.18504476236561,151,17,"X0","mofa"
"3","activation of GTPase activity (GO:0090630)",0.0485714285714286,0.958441558441558,0.877363022321425,1.30050104848398,33,19,"X0","mofa"
"4","activation of protein kinase activity (GO:0032147)",0.605960264900662,0.972028286002918,-0.52892483078779,-0.885481756539552,182,19,"X0","mofa"
"5","adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)",0.309352517985612,0.972028286002918,-0.633063688146136,-1.11986297100777,85,24,"X0","mofa"
"6","adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)",0.94148244473342,0.972305839855509,0.412074983570049,0.655124706727534,723,30,"X0","mofa"
"7","anterograde trans-synaptic signaling (GO:0098916)",0.040650406504065,0.958441558441558,-0.812713866220913,-1.44475135432046,9,27,"X0","mofa"
"8","antigen receptor-mediated signaling pathway (GO:0050851)",0.42984693877551,0.972028286002918,0.648677187921849,1.05193306401761,336,34,"X0","mofa"
"9","apoptotic process (GO:0006915)",0.397190293742018,0.972028286002918,0.654279326292653,1.06299078949245,310,36,"X0","mofa"
"10","axon guidance (GO:0007411)",0.741357234314981,0.972028286002918,0.519223323657198,0.849154429817582,578,38,"X0","mofa"
"11","axonogenesis (GO:0007409)",0.672215108834827,0.972028286002918,0.550654059554269,0.900557260552215,524,38,"X0","mofa"
"12","B cell activation (GO:0042113)",0.0359195402298851,0.958441558441558,0.901433558245341,1.31702755805621,24,16,"X0","mofa"
"13","brain development (GO:0007420)",0.298013245033113,0.972028286002918,-0.670026203733309,-1.12170188517267,89,19,"X0","mofa"
"14","calcium ion transport (GO:0006816)",0.0714285714285714,0.972028286002918,0.868988755718527,1.27662010541716,49,17,"X0","mofa"
"15","calcium-mediated signaling (GO:0019722)",0.0679886685552408,0.972028286002918,0.864467969572513,1.27953422744857,47,18,"X0","mofa"
"16","cation transport (GO:0006812)",0.719546742209632,0.972028286002918,0.589931925067116,0.873182253775435,507,18,"X0","mofa"
"17","cell junction assembly (GO:0034329)",0.73132183908046,0.972028286002918,0.586570487665533,0.857001040100749,508,16,"X0","mofa"
"18","cell junction organization (GO:0034330)",0.405523255813953,0.972028286002918,0.755981581876655,1.09326806759434,278,15,"X0","mofa"
"19","cell morphogenesis involved in neuron differentiation (GO:0048667)",0.593023255813954,0.972028286002918,0.683953573672858,0.989104258277512,407,15,"X0","mofa"
"20","cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)",0.956349206349206,0.973580129726309,-0.374288949084669,-0.660168147142148,240,26,"X0","mofa"
"21","cell-cell junction organization (GO:0045216)",0.535410764872521,0.972028286002918,0.682774491880888,1.01060231580636,377,18,"X0","mofa"
"22","cellular amide metabolic process (GO:0043603)",0.19683908045977,0.972028286002918,0.822034527870547,1.20102265660779,136,16,"X0","mofa"
"23","cellular calcium ion homeostasis (GO:0006874)",0.103399433427762,0.972028286002918,0.845957231193397,1.25213573014724,72,18,"X0","mofa"
"24","cellular component assembly (GO:0022607)",0.923376623376623,0.972028286002918,0.432092844892204,0.692839752446051,710,32,"X0","mofa"
"25","cellular macromolecule biosynthetic process (GO:0034645)",0.483641536273115,0.972028286002918,0.686774414135915,1.03121770993611,339,21,"X0","mofa"
"26","cellular metal ion homeostasis (GO:0006875)",0.472383720930233,0.972028286002918,0.731034999838282,1.05719139298744,324,15,"X0","mofa"
"27","cellular protein localization (GO:0034613)",0.0532467532467532,0.958441558441558,0.832926162853231,1.33555638168699,40,32,"X0","mofa"
"28","cellular protein metabolic process (GO:0044267)",0.292682926829268,0.972028286002918,-0.638987043317402,-1.1359193371694,71,27,"X0","mofa"
"29","cellular protein modification process (GO:0006464)",0.64185544768069,0.972028286002918,0.502722711267957,0.934213968899029,594,141,"X0","mofa"
"30","cellular protein-containing complex assembly (GO:0034622)",0.451428571428571,0.972028286002918,0.710517804642785,1.05318907498469,315,19,"X0","mofa"
"31","cellular response to cytokine stimulus (GO:0071345)",0.30188679245283,0.972028286002918,-0.460300375553189,-1.04941056065936,31,94,"X0","mofa"
"32","cellular response to DNA damage stimulus (GO:0006974)",0.205583756345178,0.972028286002918,0.715472823503151,1.18157741440316,161,44,"X0","mofa"
"33","cellular response to growth factor stimulus (GO:0071363)",0.696,0.972028286002918,0.570489257741594,0.887358661476057,521,26,"X0","mofa"
"34","cellular response to insulin stimulus (GO:0032869)",0.582781456953642,0.972028286002918,-0.568677319771105,-0.913568531648242,175,17,"X0","mofa"
"35","cellular response to interferon-gamma (GO:0071346)",0.00672043010752688,0.958441558441558,0.911584619232985,1.40490830276259,4,25,"X0","mofa"
"36","cellular response to interleukin-1 (GO:0071347)",0.736994219653179,0.972028286002918,0.577456561321656,0.859350011216756,509,20,"X0","mofa"
"37","cellular response to lipid (GO:0071396)",0.605905006418485,0.972028286002918,0.58304834452627,0.941494712683436,471,33,"X0","mofa"
