"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0740.2","MA0740.2",37,3099,74,20.6724034420652,3.57965150048403,7.77508007230746e-16,"KLF14",7.07399298724411e-13
"MA1959.1","MA1959.1",40,3818,80,25.4686145020346,3.14112100576218,9.05760945869925e-16,"KLF7",7.07399298724411e-13
"MA0746.2","MA0746.2",38,3408,76,22.7336401841105,3.34306338028169,1.89231905662493e-15,"SP3",9.85267455482715e-13
"MA1564.1","MA1564.1",37,3342,74,22.2933760256154,3.31937163375224,9.95793732377925e-15,"SP9",3.8885745249358e-12
"ENSG00000178951_LINE1236_ZBTB7A_D_N1","ENSG00000178951_LINE1236_ZBTB7A_D_N1",36,3356,72,22.3867653925689,3.21618593563766,1.07230497704099e-13,"ZBTB7A",2.02469322419929e-11
"MA0742.2","MA0742.2",35,3138,70,20.9325595357214,3.34407265774379,1.12139311643723e-13,"KLF12",2.02469322419929e-11
"MA1511.2","MA1511.2",38,3846,76,25.6553932359416,2.96234009360374,1.22739579603799e-13,"KLF10",2.02469322419929e-11
"ENSG00000118263_LINE839_KLF7_I","ENSG00000118263_LINE839_KLF7_I",34,2935,68,19.5784137148956,3.4732129471891,1.24929546241718e-13,"KLF7",2.02469322419929e-11
"ENSG00000185129_LINE3691_PURA_D","ENSG00000185129_LINE3691_PURA_D",42,4942,84,32.9664465345874,2.54804532577904,1.25432555564382e-13,"PURA",2.02469322419929e-11
"MA0493.2","MA0493.2",40,4373,80,29.1708358348342,2.74246512691516,1.29621845339263e-13,"KLF1",2.02469322419929e-11
"ENSG00000067082_LINE628_KLF6_D","ENSG00000067082_LINE628_KLF6_D",29,2090,58,13.9416983523447,4.16018181818182,4.35268583436221e-13,"KLF6",6.18081388479434e-11
"MA1513.1","MA1513.1",34,3098,68,20.6657327729971,3.29047127178825,6.43030659094073e-13,"KLF15",8.37011574587452e-11
"ENSG00000172845_LINE1170_SP3_D_N1","ENSG00000172845_LINE1170_SP3_D_N1",38,4056,76,27.0562337402441,2.80896449704142,7.50011364968126e-13,"SP3",9.01167501600164e-11
"MA1965.1","MA1965.1",40,4792,80,31.9658461743713,2.50267111853088,3.473065489275e-12,"SP5",3.8749487816054e-10
"ENSG00000163884_LINE1044_KLF15_D","ENSG00000163884_LINE1044_KLF15_D",39,4540,78,30.2848375692082,2.57554625550661,4.2935935648625e-12,"KLF15",4.47106209887682e-10
"MA1723.1","MA1723.1",44,6107,88,40.7377759989327,2.16015719665957,4.84996601034905e-12,"PRDM9",4.73477931760326e-10
"MA0155.1","MA0155.1",30,2524,60,16.8367687279034,3.56362916006339,7.46129822494553e-12,"INSM1",6.54254497286401e-10
