"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000117318_LINE151_ID3_I","ENSG00000117318_LINE151_ID3_I",308,3828,30.8308308308308,25.531914893617,1.20754087420754,5.46296705158419e-05,"ID3",0.0349830756409785
"ENSG00000172201_LINE271_ID4_D","ENSG00000172201_LINE271_ID4_D",308,3828,30.8308308308308,25.531914893617,1.20754087420754,5.46296705158419e-05,"ID4",0.0349830756409785
"MA0139.1","MA0139.1",334,4207,33.4334334334334,28.0597612219036,1.19150812328849,6.71890057125068e-05,"CTCF",0.0349830756409785
"ENSG00000102974_LINE747_CTCF_D_N67","ENSG00000102974_LINE747_CTCF_D_N67",353,4500,35.3353353353353,30.0140065363836,1.17729485040596,0.00010200515312445,"CTCF",0.0398330122950979
"ENSG00000077150_LINE3188_NFKB2_D_N1","ENSG00000077150_LINE3188_NFKB2_D_N1",159,1857,15.9159159159159,12.385780030681,1.2850152252414,0.000402068303383366,"NFKB2",0.125606137976963
"MA0778.1","MA0778.1",161,1918,16.1161161161161,12.7926365637297,1.25979629264301,0.000907917062737396,"NFKB2",0.236361075332635
"ENSG00000135363_LINE3654_LMO2_D_N1","ENSG00000135363_LINE3654_LMO2_D_N1",338,4437,33.8338338338338,29.5938104448743,1.1432739929472,0.00147959062204886,"LMO2",0.330160078805761
"MA1637.1","MA1637.1",272,3529,27.2272272272272,23.5376509037551,1.15675210489605,0.0028092947694934,"EBF3",0.519676204720681
"MA0107.1","MA0107.1",228,2908,22.8228228228228,19.3957180017341,1.17669388783557,0.00299429311298728,"RELA",0.519676204720681
"MA0154.4","MA0154.4",293,3878,29.3293293293293,25.8654038551324,1.13392118265764,0.00580346226636483,"EBF1",0.788847158193544
"ENSG00000109320_LINE3202_NFKB1_D_N3","ENSG00000109320_LINE3202_NFKB1_D_N3",274,3605,27.4274274274274,24.0445541252585,1.14069187078896,0.00583433944784309,"NFKB1",0.788847158193544
"ENSG00000028277_LINE2631_POU2F2_D_N7","ENSG00000028277_LINE2631_POU2F2_D_N7",239,3107,23.9239239239239,20.7230040685653,1.15446215446215,0.00606028546627563,"POU2F2",0.788847158193544
"ENSG00000196628_LINE303_TCF4_D_N3","ENSG00000196628_LINE303_TCF4_D_N3",330,4441,33.033033033033,29.6204895617955,1.11520888147774,0.0084139983845636,"TCF4",0.999999999999998
"ENSG00000212993_LINE2696_POU5F1B_D_N1","ENSG00000212993_LINE2696_POU5F1B_D_N1",195,2514,19.5195195195195,16.767824984993,1.16410563307938,0.00989965278700411,"POU5F1B",0.999999999999998
"MA0792.1","MA0792.1",195,2514,19.5195195195195,16.767824984993,1.16410563307938,0.00989965278700411,"POU5F1B",0.999999999999998
"ENSG00000124092_LINE881_CTCFL_D","ENSG00000124092_LINE881_CTCFL_D",304,4087,30.4304304304304,27.2593877142667,1.11632846450561,0.0114903461349427,"CTCFL",0.999999999999998
"ENSG00000173039_LINE3227_RELA_D_N13","ENSG00000173039_LINE3227_RELA_D_N13",255,3380,25.5255255255255,22.5438537984393,1.13226095918404,0.0115905091678261,"RELA",0.999999999999998
"ENSG00000137709_LINE2649_POU2F3_D_N1","ENSG00000137709_LINE2649_POU2F3_D_N1",189,2447,18.9189189189189,16.3209497765624,1.15918002186903,0.0131102217461254,"POU2F3",0.999999999999998
