"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000130522_LINE411_JUND_D_N6","ENSG00000130522_LINE411_JUND_D_N6",65,524,65,34.9333333333333,1.86068702290076,2.20688322080524e-10,"JUND",3.44715159089778e-07
"MA0835.2","MA0835.2",66,565,66,37.6666666666667,1.75221238938053,2.65205712665813e-09,"BATF3",2.07125661592e-06
"MA1634.1","MA1634.1",65,556,65,37.0666666666667,1.75359712230216,4.21638562795203e-09,"BATF",2.19533145028702e-06
"MA0462.2","MA0462.2",65,565,65,37.6666666666667,1.72566371681416,9.17742034298786e-09,"BATF::JUN",2.84135709108769e-06
"ENSG00000170345_LINE476_FOS_D_N4","ENSG00000170345_LINE476_FOS_D_N4",62,524,62,34.9333333333333,1.77480916030534,1.01943113068194e-08,"FOS",2.84135709108769e-06
"ENSG00000175592_LINE505_FOSL1_D_N3","ENSG00000175592_LINE505_FOSL1_D_N3",61,511,61,34.0666666666667,1.79060665362035,1.0914303806995e-08,"FOSL1",2.84135709108769e-06
"ENSG00000173473_LINE2867_SMARCC1_D_N2","ENSG00000173473_LINE2867_SMARCC1_D_N2",61,518,61,34.5333333333333,1.76640926640927,2.00740862389133e-08,"SMARCC1",4.47938895788322e-06
"MA1141.1","MA1141.1",58,481,58,32.0666666666667,1.80873180873181,2.78117433541141e-08,"FOS::JUND",5.43024288989078e-06
"MA1928.1","MA1928.1",61,524,61,34.9333333333333,1.74618320610687,3.34557144769873e-08,"BNC2",5.80642511256157e-06
"MA0477.2","MA0477.2",57,477,57,31.8,1.79245283018868,6.27054930053124e-08,"FOSL1",9.12477968832283e-06
"MA0476.1","MA0476.1",60,518,60,34.5333333333333,1.73745173745174,6.42590118895974e-08,"FOS",9.12477968832283e-06
"ENSG00000171223_LINE487_JUNB_D_N3","ENSG00000171223_LINE487_JUNB_D_N3",58,502,58,33.4666666666667,1.73306772908367,1.63741734156669e-07,"JUNB",2.13137157293931e-05
"MA1128.1","MA1128.1",55,464,55,30.9333333333333,1.77801724137931,1.98022156103077e-07,"FOSL1::JUN",2.3793123679462e-05
"MA0099.3","MA0099.3",52,428,52,28.5333333333333,1.82242990654206,2.60015928006011e-07,"FOS::JUN",2.90103485389564e-05
"MA1134.1","MA1134.1",50,410,50,27.3333333333333,1.82926829268293,4.98551646847874e-07,"FOS::JUNB",5.12952049344547e-05
"ENSG00000177606_LINE517_JUN_D_N5","ENSG00000177606_LINE517_JUN_D_N5",55,476,55,31.7333333333333,1.73319327731092,5.25431036460484e-07,"JUN",5.12952049344547e-05
"MA0490.2","MA0490.2",54,464,54,30.9333333333333,1.74568965517241,5.84425200031814e-07,"JUNB",5.36983624970408e-05
"ENSG00000075426_LINE328_FOSL2_D_N3","ENSG00000075426_LINE328_FOSL2_D_N3",56,496,56,33.0666666666667,1.69354838709677,8.72880845452344e-07,"FOSL2",7.38478200362961e-05
"MA1137.1","MA1137.1",52,443,52,29.5333333333333,1.7607223476298,8.98276940262245e-07,"FOSL1::JUNB",7.38478200362961e-05
"MA1130.1","MA1130.1",51,433,51,28.8666666666667,1.76674364896074,1.14693001501662e-06,"FOSL2::JUN",8.95752341727977e-05
"MA1144.1","MA1144.1",50,422,50,28.1333333333333,1.77725118483412,1.342415369091e-06,"FOSL2::JUND",9.98501336438159e-05
"MA0836.2","MA0836.2",34,232,34,15.4666666666667,2.19827586206897,1.44002744001841e-06,"CEBPD",0.000102241948241307
"MA0478.1","MA0478.1",55,491,55,32.7333333333333,1.68024439918534,1.67048660771327e-06,"FOSL2",0.000113447829619484
"ENSG00000125740_LINE393_FOSB_D","ENSG00000125740_LINE393_FOSB_D",52,452,52,30.1333333333333,1.72566371681416,1.8216174530361e-06,"FOSB",0.000118556935901766
"ENSG00000140044_LINE415_JDP2_D_N2","ENSG00000140044_LINE415_JDP2_D_N2",43,341,43,22.7333333333333,1.89149560117302,2.35596013634884e-06,"JDP2",0.000146062565762277
"MA1138.1","MA1138.1",49,417,49,27.8,1.76258992805755,2.51654109140548e-06,"FOSL2::JUNB",0.000146062565762277
"ENSG00000156273_LINE437_BACH1_D_N1","ENSG00000156273_LINE437_BACH1_D_N1",50,430,50,28.6666666666667,1.74418604651163,2.52476906247214e-06,"BACH1",0.000146062565762277
"MA0491.2","MA0491.2",50,432,50,28.8,1.73611111111111,2.94644337343263e-06,"JUND",0.000164369448189349
"MA1135.1","MA1135.1",49,420,49,28,1.75,3.180632511997e-06,"FOSB::JUNB",0.000171315447715149
"ENSG00000245848_LINE568_CEBPA_D_N4","ENSG00000245848_LINE568_CEBPA_D_N4",39,297,39,19.8,1.96969696969697,3.29705426208427e-06,"CEBPA",0.000171666625245854
"MA1633.2","MA1633.2",51,453,51,30.2,1.6887417218543,5.31285090846189e-06,"BACH1",0.000267699132871531
"MA0838.1","MA0838.1",23,131,23,8.73333333333333,2.63358778625954,5.59112117306861e-06,"CEBPG",0.000272916602260412
"ENSG00000066336_LINE1813_SPI1_D_N5","ENSG00000066336_LINE1813_SPI1_D_N5",82,937,82,62.4666666666667,1.31270010672359,1.0072059735592e-05,"SPI1",0.000476744160818023
"MA0496.3","MA0496.3",65,662,65,44.1333333333333,1.47280966767372,1.12612404059315e-05,"MAFK",0.000517354632766619
"ENSG00000112182_LINE360_BACH2_D","ENSG00000112182_LINE360_BACH2_D",42,351,42,23.4,1.79487179487179,1.46653243635894e-05,"BACH2",0.00065449247588362
"MA1142.1","MA1142.1",48,434,48,28.9333333333333,1.65898617511521,2.3153557024103e-05,"FOSL1::JUND",0.00100460711310136
"ENSG00000221869_LINE558_CEBPD_D_N2","ENSG00000221869_LINE558_CEBPD_D_N2",34,263,34,17.5333333333333,1.93916349809886,2.84336747682516e-05,"CEBPD",0.00120036216183808
"ENSG00000140009_LINE3002_ESR2_D_N2","ENSG00000140009_LINE3002_ESR2_D_N2",49,453,49,30.2,1.62251655629139,3.42099996382191e-05,"ESR2",0.00140621103776048
"MA0102.4","MA0102.4",36,295,36,19.6666666666667,1.83050847457627,5.64643025135546e-05,"CEBPA",0.0022366751000276
"MA0655.1","MA0655.1",44,395,44,26.3333333333333,1.67088607594937,5.72772112683123e-05,"JDP2",0.0022366751000276
"MA0841.1","MA0841.1",37,309,37,20.6,1.79611650485437,6.53541022452314e-05,"NFE2",0.00248983189529394
"MA0258.2","MA0258.2",48,452,48,30.1333333333333,1.5929203539823,7.65712112827391e-05,"ESR2",0.00284771981008663
