"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1471.1","MA1471.1",29,871,29,17.42,1.66475315729047,0.00266206890856519,"BARX2",1
"MA0091.1","MA0091.1",22,694,22,13.88,1.5850144092219,0.0169600746546481,"TAL1::TCF3",1
"ENSG00000198963_LINE18386_RORB_I_N9","ENSG00000198963_LINE18386_RORB_I_N9",19,579,19,11.58,1.64075993091537,0.0191799500321455,"RORB",1
"ENSG00000175879_LINE2498_HOXD8_D","ENSG00000175879_LINE2498_HOXD8_D",32,1134,32,22.68,1.41093474426808,0.0193913563129869,"HOXD8",1
"MA1720.1","MA1720.1",25,836,25,16.72,1.49521531100478,0.0213759814067787,"ZNF85",1
"ENSG00000116604_LINE2813_MEF2D_D_N2","ENSG00000116604_LINE2813_MEF2D_D_N2",36,1345,36,26.9,1.33828996282528,0.0274727983684806,"MEF2D",1
"MA0776.1","MA0776.1",5,92,5,1.84,2.71739130434783,0.0362305247791205,"MYBL1",1
"MA0469.3","MA0469.3",5,92,5,1.84,2.71739130434783,0.0362305247791205,"E2F3",1
"ENSG00000160973_LINE2004_FOXH1_D","ENSG00000160973_LINE2004_FOXH1_D",19,626,19,12.52,1.51757188498403,0.0394385612196623,"FOXH1",1
"MA0479.1","MA0479.1",19,628,19,12.56,1.51273885350318,0.040560951559717,"FOXH1",1
"ENSG00000136327_LINE2348_NKX28_D","ENSG00000136327_LINE2348_NKX28_D",16,511,16,10.22,1.56555772994129,0.0454068680391925,"NKX28",1
"MA1499.1","MA1499.1",14,432,14,8.64,1.62037037037037,0.0472070841520112,"HOXB4",1
"MA1504.1","MA1504.1",14,432,14,8.64,1.62037037037037,0.0472070841520112,"HOXC4",1
"MA1507.1","MA1507.1",14,432,14,8.64,1.62037037037037,0.0472070841520112,"HOXD4",1
"ENSG00000105996_LINE2208_HOXA2_D_N2","ENSG00000105996_LINE2208_HOXA2_D_N2",13,393,13,7.86,1.65394402035623,0.0480751357726266,"HOXA2",1
"ENSG00000064489_LINE2769_AC0021266_I","ENSG00000064489_LINE2769_AC0021266_I",32,1235,32,24.7,1.29554655870445,0.0584327737259022,"AC0021266",1
"ENSG00000213999_LINE2814_MEF2B_D","ENSG00000213999_LINE2814_MEF2B_D",32,1235,32,24.7,1.29554655870445,0.0584327737259022,"MEF2B",1
"ENSG00000130700_LINE2097_GATA5_D_N1","ENSG00000130700_LINE2097_GATA5_D_N1",20,719,20,14.38,1.39082058414465,0.0745465697949874,"GATA5",1
"MA0864.2","MA0864.2",9,263,9,5.26,1.71102661596958,0.0787284435839884,"E2F2",1
"MA1549.1","MA1549.1",16,551,16,11.02,1.4519056261343,0.0791504367655492,"POU6F1",1
"ENSG00000154832_LINE1724_CXXC1_D","ENSG00000154832_LINE1724_CXXC1_D",10,303,10,6.06,1.65016501650165,0.0795160820290381,"CXXC1",1
"ENSG00000148826_LINE14172_NKX62_I_N5","ENSG00000148826_LINE14172_NKX62_I_N5",23,864,23,17.28,1.33101851851852,0.0848891614198027,"NKX62",1
"ENSG00000198353_LINE2554_HOXC5_I","ENSG00000198353_LINE2554_HOXC5_I",11,349,11,6.98,1.57593123209169,0.0872722305750952,"HOXC5",1
"MA0749.1","MA0749.1",3,53,3,1.06,2.83018867924528,0.0888048928788529,"ZBED1",1
"ENSG00000139352_LINE730_ASCL1_I_N2","ENSG00000139352_LINE730_ASCL1_I_N2",29,1150,29,23,1.26086956521739,0.0955643572433294,"ASCL1",1
"MA0893.2","MA0893.2",10,317,10,6.34,1.57728706624606,0.100090766788365,"GSX2",1
"ENSG00000071564_LINE91_TCF3_D_N2","ENSG00000071564_LINE91_TCF3_D_N2",28,1110,28,22.2,1.26126126126126,0.100918774568986,"TCF3",1
"MA0812.1","MA0812.1",22,837,22,16.74,1.3142174432497,0.101579091401827,"TFAP2B",1
"MA1108.2","MA1108.2",23,890,23,17.8,1.29213483146067,0.109468671239763,"MXI1",1
"ENSG00000112658_LINE2806_SRF_D_N9","ENSG00000112658_LINE2806_SRF_D_N9",18,668,18,13.36,1.34730538922156,0.112072490115135,"SRF",1
"MA0674.1","MA0674.1",18,668,18,13.36,1.34730538922156,0.112072490115135,"NKX6-1",1
"ENSG00000197579_LINE3699_TOPORS_D","ENSG00000197579_LINE3699_TOPORS_D",37,1546,37,30.92,1.19663648124191,0.112350818401461,"TOPORS",1
"MA1570.1","MA1570.1",11,367,11,7.34,1.49863760217984,0.113883330849518,"TFAP4",1
"MA1496.1","MA1496.1",11,369,11,7.38,1.49051490514905,0.117104425490872,"HOXA4",1
"MA1983.1","MA1983.1",23,900,23,18,1.27777777777778,0.120045649117385,"ZNF582",1
"ENSG00000141448_LINE2103_GATA6_D_N2","ENSG00000141448_LINE2103_GATA6_D_N2",11,371,11,7.42,1.48247978436658,0.120377922649356,"GATA6",1
"ENSG00000069667_LINE2896_RORA_D_N5","ENSG00000069667_LINE2896_RORA_D_N5",17,639,17,12.78,1.3302034428795,0.131558084255261,"RORA",1
"ENSG00000096401_LINE2834_CDC5L_D_N2","ENSG00000096401_LINE2834_CDC5L_D_N2",14,507,14,10.14,1.38067061143984,0.131918559752539,"CDC5L",1
"MA1497.1","MA1497.1",9,295,9,5.9,1.52542372881356,0.133992181829404,"HOXA6",1
"MA1718.1","MA1718.1",15,553,15,11.06,1.35623869801085,0.135144254047469,"ZNF8",1
"ENSG00000165066_LINE2435_NKX63_I","ENSG00000165066_LINE2435_NKX63_I",15,556,15,11.12,1.34892086330935,0.139590789841964,"NKX63",1
"MA0799.2","MA0799.2",7,216,7,4.32,1.62037037037037,0.140002329608203,"RFX4",1
"ENSG00000120798_LINE2970_NR2C1_D","ENSG00000120798_LINE2970_NR2C1_D",23,925,23,18.5,1.24324324324324,0.149243187286964,"NR2C1",1
"ENSG00000005513_LINE3332_SOX8_D_N2","ENSG00000005513_LINE3332_SOX8_D_N2",15,564,15,11.28,1.32978723404255,0.151854183472461,"SOX8",1
"MA0499.2","MA0499.2",30,1256,30,25.12,1.19426751592357,0.153863295105778,"MYOD1",1
"ENSG00000174576_LINE275_NPAS4_I","ENSG00000174576_LINE275_NPAS4_I",5,142,5,2.84,1.76056338028169,0.154015129605524,"NPAS4",1
"ENSG00000106511_LINE2224_MEOX2_D_N1","ENSG00000106511_LINE2224_MEOX2_D_N1",15,566,15,11.32,1.32508833922261,0.155011353785814,"MEOX2",1
"MA1587.1","MA1587.1",49,2177,49,43.54,1.12540192926045,0.156129295576732,"ZNF135",1
"ENSG00000122859_LINE163_NEUROG3_I","ENSG00000122859_LINE163_NEUROG3_I",9,306,9,6.12,1.47058823529412,0.156811801080118,"NEUROG3",1
"ENSG00000128710_LINE2321_HOXD10_D","ENSG00000128710_LINE2321_HOXD10_D",31,1310,31,26.2,1.18320610687023,0.161411483187645,"HOXD10",1
"ENSG00000182742_LINE2525_HOXB4_I","ENSG00000182742_LINE2525_HOXB4_I",11,395,11,7.9,1.39240506329114,0.163648208843157,"HOXB4",1
"ENSG00000143867_LINE963_OSR1_I","ENSG00000143867_LINE963_OSR1_I",8,267,8,5.34,1.49812734082397,0.163701444443127,"OSR1",1
"ENSG00000128652_LINE2317_HOXD3_I","ENSG00000128652_LINE2317_HOXD3_I",7,228,7,4.56,1.53508771929825,0.1702773778328,"HOXD3",1
"MA0140.2","MA0140.2",15,577,15,11.54,1.2998266897747,0.173015463790392,"GATA1::TAL1",1
"MA1150.1","MA1150.1",15,578,15,11.56,1.29757785467128,0.174705016396119,"RORB",1
"MA1498.2","MA1498.2",7,230,7,4.6,1.52173913043478,0.175589885105947,"HOXA7",1
"ENSG00000197576_LINE16129_HOXA4_I_N70","ENSG00000197576_LINE16129_HOXA4_I_N70",15,579,15,11.58,1.29533678756477,0.176403225390756,"HOXA4",1
"ENSG00000102935_LINE713_ZNF423_D_N2","ENSG00000102935_LINE713_ZNF423_D_N2",16,628,16,12.56,1.27388535031847,0.182862946048322,"ZNF423",1
"ENSG00000106536_LINE2646_POU6F2_D_N2","ENSG00000106536_LINE2646_POU6F2_D_N2",15,583,15,11.66,1.28644939965695,0.183281886232802,"POU6F2",1
"MA0706.1","MA0706.1",15,583,15,11.66,1.28644939965695,0.183281886232802,"MEOX2",1
"ENSG00000180318_LINE2519_ALX1_D_N2","ENSG00000180318_LINE2519_ALX1_D_N2",16,629,16,12.58,1.27186009538951,0.184543167849773,"ALX1",1
"MA1547.2","MA1547.2",10,362,10,7.24,1.38121546961326,0.185323254709953,"PITX2",1
"ENSG00000102145_LINE2081_GATA1_D_N7","ENSG00000102145_LINE2081_GATA1_D_N7",16,631,16,12.62,1.26782884310618,0.187927483307147,"GATA1",1
"ENSG00000165588_LINE2449_OTX2_D_N2","ENSG00000165588_LINE2449_OTX2_D_N2",8,277,8,5.54,1.44404332129964,0.188254467094652,"OTX2",1
"ENSG00000163792_LINE248_TCF23_I","ENSG00000163792_LINE248_TCF23_I",9,320,9,6.4,1.40625,0.188445090979431,"TCF23",1
"MA0793.1","MA0793.1",15,587,15,11.74,1.27768313458262,0.190296004186466,"POU6F2",1
"MA0003.4","MA0003.4",31,1336,31,26.72,1.16017964071856,0.192876469082578,"TFAP2A",1
"MA0782.2","MA0782.2",30,1290,30,25.8,1.16279069767442,0.195125957212344,"PKNOX1",1
"MA1975.1","MA1975.1",17,682,17,13.64,1.24633431085044,0.196983693661527,"ZNF214",1
"MA1151.1","MA1151.1",15,591,15,11.82,1.26903553299492,0.19744294390041,"RORC",1
"ENSG00000128610_LINE909_FEZF1_I","ENSG00000128610_LINE909_FEZF1_I",21,870,21,17.4,1.20689655172414,0.201806038138735,"FEZF1",1
"ENSG00000153266_LINE992_FEZF2_I","ENSG00000153266_LINE992_FEZF2_I",21,870,21,17.4,1.20689655172414,0.201806038138735,"FEZF2",1
"MA0036.3","MA0036.3",16,640,16,12.8,1.25,0.20354342631576,"GATA2",1
"ENSG00000172273_LINE1160_HINFP_D_N3","ENSG00000172273_LINE1160_HINFP_D_N3",4,117,4,2.34,1.70940170940171,0.205761608962884,"HINFP",1
"ENSG00000148200_LINE3017_NR6A1_D_N2","ENSG00000148200_LINE3017_NR6A1_D_N2",25,1061,25,21.22,1.17813383600377,0.206590525129528,"NR6A1",1
"ENSG00000162613_LINE3668_FUBP1_D","ENSG00000162613_LINE3668_FUBP1_D",46,2076,46,41.52,1.10789980732177,0.206800830093146,"FUBP1",1
"ENSG00000134138_LINE2334_MEIS2_D_N2","ENSG00000134138_LINE2334_MEIS2_D_N2",13,506,13,10.12,1.28458498023715,0.207934699638171,"MEIS2",1
"ENSG00000136352_LINE2353_NKX21_D","ENSG00000136352_LINE2353_NKX21_D",21,874,21,17.48,1.20137299771167,0.208016188191158,"NKX21",1
"MA1579.1","MA1579.1",29,1253,29,25.06,1.15722266560255,0.209399175359972,"ZBTB26",1
"ENSG00000087510_LINE7_TFAP2C_D_N3","ENSG00000087510_LINE7_TFAP2C_D_N3",38,1687,38,33.74,1.1262596324837,0.20980202736497,"TFAP2C",1
"ENSG00000184221_LINE291_OLIG1_D","ENSG00000184221_LINE291_OLIG1_D",7,243,7,4.86,1.440329218107,0.211804502877858,"OLIG1",1
"ENSG00000165495_LINE2439_PKNOX2_D","ENSG00000165495_LINE2439_PKNOX2_D",23,974,23,19.48,1.18069815195072,0.217548526032802,"PKNOX2",1
"ENSG00000105991_LINE2206_HOXA1_D_N1","ENSG00000105991_LINE2206_HOXA1_D_N1",9,332,9,6.64,1.35542168674699,0.217657331950952,"HOXA1",1
"ENSG00000111424_LINE2940_VDR_D_N1","ENSG00000111424_LINE2940_VDR_D_N1",15,602,15,12.04,1.24584717607973,0.217758250556662,"VDR",1
"ENSG00000120075_LINE2289_HOXB5_D","ENSG00000120075_LINE2289_HOXB5_D",15,604,15,12.08,1.24172185430464,0.221552538804673,"HOXB5",1
"ENSG00000081189_LINE2787_MEF2C_D_N3","ENSG00000081189_LINE2787_MEF2C_D_N3",42,1892,42,37.84,1.10993657505285,0.221984991919404,"MEF2C",1
"ENSG00000214717_LINE3702_ZBED1_D","ENSG00000214717_LINE3702_ZBED1_D",2,45,2,0.9,2.22222222222222,0.226928884517573,"ZBED1",1
"MA0675.1","MA0675.1",15,608,15,12.16,1.23355263157895,0.229230420123972,"NKX6-2",1
"MA0607.2","MA0607.2",7,250,7,5,1.4,0.232399677979018,"BHLHA15",1
"ENSG00000162367_LINE243_TAL1_D_N1","ENSG00000162367_LINE243_TAL1_D_N1",20,844,20,16.88,1.18483412322275,0.23548815355499,"TAL1",1
"ENSG00000186051_LINE511_TAL2_I_N1","ENSG00000186051_LINE511_TAL2_I_N1",20,844,20,16.88,1.18483412322275,0.23548815355499,"TAL2",1
"MA1146.1","MA1146.1",10,384,10,7.68,1.30208333333333,0.236410621227508,"NR1H4::RXRA",1
