,bottom in dim 0,bottom in dim 1,bottom in dim 2,bottom in dim 3,bottom in dim 4,bottom in dim 5,bottom in dim 6,bottom in dim 7,bottom in dim 8,bottom in dim 9,bottom in dim 10,bottom in dim 11,bottom in dim 12,bottom in dim 13,bottom in dim 14
chr1:10016-10480,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:629775-630124,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:633800-634258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:903784-907235,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
chr1:962935-963174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:995731-996379,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1012783-1015743,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1031384-1036319,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
chr1:1061505-1066010,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
chr1:1079315-1080510,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1125127-1125320,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1142925-1145369,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
chr1:1169495-1172502,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1182541-1183336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1197575-1201993,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False
chr1:1221860-1223016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1241988-1242299,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1246257-1247488,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1283882-1284113,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1299956-1300451,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1301925-1302383,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1331088-1331139,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1337666-1338140,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1370610-1373519,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
chr1:1406367-1408184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1433247-1436588,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
chr1:1439516-1439888,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1539298-1541346,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1602497-1602995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1604902-1607748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1618567-1618668,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1758944-1759156,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1833577-1834337,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1857272-1857522,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1893928-1895186,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1899125-1900005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:1959990-1960419,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2025643-2025913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2043388-2045485,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
chr1:2112389-2112938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
